#decoy score
complex.514.pdb 1249.0718
complex.515.pdb 1248.8785
complex.516.pdb 1248.3871
complex.517.pdb 1248.3694
complex.518.pdb 1248.2570
complex.519.pdb 1248.2472
complex.520.pdb 1248.1085
complex.521.pdb 1247.8599
complex.522.pdb 1247.7709
complex.523.pdb 1247.7095
complex.524.pdb 1247.6887
complex.525.pdb 1247.5603
complex.526.pdb 1247.4915
complex.527.pdb 1247.2968
complex.528.pdb 1246.6337
complex.529.pdb 1246.4624
complex.530.pdb 1246.1183
complex.531.pdb 1246.0487
complex.532.pdb 1245.9440
complex.533.pdb 1245.7628
complex.534.pdb 1245.3770
complex.535.pdb 1245.0914
complex.536.pdb 1244.7959
complex.537.pdb 1244.6757
complex.538.pdb 1244.3514
complex.539.pdb 1243.6394
complex.540.pdb 1243.6169
complex.541.pdb 1243.5634
complex.542.pdb 1243.5259
complex.543.pdb 1243.4733
complex.544.pdb 1243.1376
complex.545.pdb 1242.9419
complex.546.pdb 1242.6504
complex.547.pdb 1242.6324
complex.548.pdb 1242.4386
complex.549.pdb 1242.4386
complex.550.pdb 1242.3210
complex.551.pdb 1241.9301
complex.552.pdb 1241.6173
complex.553.pdb 1241.5541
complex.554.pdb 1241.5033
complex.555.pdb 1241.3965
complex.556.pdb 1241.3533
complex.557.pdb 1241.1163
complex.558.pdb 1240.9852
complex.559.pdb 1240.9639
complex.560.pdb 1240.7181
complex.561.pdb 1240.5695
complex.562.pdb 1240.5396
complex.563.pdb 1240.5394
complex.564.pdb 1240.2444
complex.565.pdb 1240.2068
complex.566.pdb 1240.1426
complex.567.pdb 1240.0089
complex.568.pdb 1239.6472
complex.569.pdb 1239.5040
complex.570.pdb 1239.1718
complex.571.pdb 1238.9740
complex.572.pdb 1238.8228
complex.573.pdb 1238.7969
complex.574.pdb 1238.5842
complex.575.pdb 1238.2823
complex.576.pdb 1238.1309
complex.577.pdb 1238.0105
complex.578.pdb 1237.7098
complex.579.pdb 1237.6478
complex.580.pdb 1237.6180
complex.581.pdb 1237.5090
complex.582.pdb 1237.4973
complex.583.pdb 1237.3586
complex.584.pdb 1236.7581
complex.585.pdb 1236.4171
complex.586.pdb 1236.4109
complex.587.pdb 1236.3781
complex.588.pdb 1236.2158
complex.589.pdb 1236.1099
complex.590.pdb 1236.1003
complex.591.pdb 1235.9479
complex.592.pdb 1235.9022
complex.593.pdb 1235.6818
complex.594.pdb 1234.7136
complex.595.pdb 1234.5371
complex.596.pdb 1234.3650
complex.597.pdb 1234.3578
complex.598.pdb 1234.0729
complex.599.pdb 1233.2876
complex.600.pdb 1233.0955
complex.601.pdb 1232.9867
complex.602.pdb 1232.9327
complex.603.pdb 1232.5203
complex.604.pdb 1232.3015
complex.605.pdb 1232.1357
complex.606.pdb 1232.0658
complex.607.pdb 1231.7881
complex.608.pdb 1231.5865
complex.609.pdb 1231.4108
complex.610.pdb 1231.4016
complex.611.pdb 1231.3083
complex.612.pdb 1231.2373
complex.613.pdb 1231.1238
complex.614.pdb 1231.0197
complex.615.pdb 1230.9583
complex.616.pdb 1230.9423
complex.617.pdb 1230.6107
complex.618.pdb 1230.5287
complex.619.pdb 1230.4030
complex.620.pdb 1230.2092
complex.621.pdb 1229.9026
complex.622.pdb 1229.7975
complex.623.pdb 1229.6243
complex.624.pdb 1229.5798
complex.625.pdb 1229.5284
complex.626.pdb 1229.3622
complex.627.pdb 1228.8345
complex.628.pdb 1228.5967
complex.629.pdb 1228.3518
complex.630.pdb 1228.1938
complex.631.pdb 1228.0862
complex.632.pdb 1228.0405
complex.633.pdb 1228.0071
complex.634.pdb 1227.9830
complex.635.pdb 1227.9282
complex.636.pdb 1227.7245
complex.637.pdb 1227.2837
complex.638.pdb 1227.0930
complex.639.pdb 1227.0106
complex.640.pdb 1226.7692
complex.641.pdb 1226.7180
complex.642.pdb 1226.4971
complex.643.pdb 1226.3724
complex.644.pdb 1226.3265
complex.645.pdb 1226.2230
complex.646.pdb 1226.2130
complex.647.pdb 1225.7028
complex.648.pdb 1225.6632
complex.649.pdb 1225.5394
complex.650.pdb 1225.1437
complex.651.pdb 1224.9520
complex.652.pdb 1224.9080
complex.653.pdb 1224.8909
complex.654.pdb 1224.8845
complex.655.pdb 1224.6985
complex.656.pdb 1224.6942
complex.657.pdb 1224.4906
complex.658.pdb 1224.2123
complex.659.pdb 1224.1493
complex.660.pdb 1224.0156
complex.661.pdb 1223.7653
complex.662.pdb 1223.7609
complex.663.pdb 1223.5786
complex.664.pdb 1223.3872
complex.665.pdb 1223.2406
complex.666.pdb 1223.2222
complex.667.pdb 1222.8000
complex.668.pdb 1222.5145
