#decoys scores
complex.348.pdb -7.5252
complex.349.pdb 3.4165
complex.350.pdb 5.8222
complex.351.pdb 6.7819
complex.352.pdb -2.6051
complex.353.pdb -2.6405
complex.354.pdb 2.7137
complex.355.pdb -3.5771
complex.356.pdb -2.7259
complex.357.pdb 6.5178
complex.358.pdb 5.0413
complex.359.pdb 0.9638
complex.360.pdb -3.1298
complex.361.pdb -0.1731
complex.362.pdb -0.7945
complex.363.pdb 6.3420
complex.364.pdb -4.3943
complex.365.pdb 5.7421
complex.366.pdb -5.6925
complex.367.pdb -0.2515
complex.368.pdb 2.7236
complex.369.pdb -1.2750
complex.370.pdb -3.2889
complex.371.pdb 5.9445
complex.372.pdb -3.9043
complex.373.pdb -3.6699
complex.374.pdb 3.1936
complex.375.pdb -2.8357
complex.376.pdb 5.4227
complex.377.pdb -0.7193
complex.378.pdb 6.3929
complex.379.pdb -0.5036
complex.380.pdb -0.4127
complex.381.pdb -3.0945
complex.382.pdb -1.1410
complex.383.pdb -2.3077
complex.384.pdb 7.4163
complex.385.pdb -1.5049
complex.386.pdb -1.6684
complex.387.pdb 5.6285
complex.388.pdb 7.3165
complex.389.pdb 1.3025
complex.390.pdb -1.4661
complex.391.pdb -0.1520
complex.392.pdb -0.3389
complex.393.pdb 1.8304
complex.394.pdb 6.3473
complex.395.pdb -5.6297
complex.396.pdb 5.7496
complex.397.pdb 1.2792
complex.398.pdb -3.7142
complex.399.pdb -3.4540
complex.400.pdb -4.3322
complex.401.pdb 6.6728
complex.402.pdb 2.5744
complex.403.pdb -1.1719
complex.404.pdb -1.9436
complex.405.pdb -8.9812
complex.406.pdb 6.4182
complex.407.pdb 2.1125
complex.408.pdb -2.6338
complex.409.pdb -0.2288
complex.410.pdb 7.8314
complex.411.pdb -3.0352
complex.412.pdb 8.1673
complex.413.pdb -1.6799
complex.414.pdb 0.2690
complex.415.pdb 3.2319
complex.416.pdb -0.3193
complex.417.pdb -4.4446
complex.418.pdb -1.9565
complex.419.pdb 5.0199
complex.420.pdb 6.8503
complex.421.pdb -3.5582
complex.422.pdb 2.9921
complex.423.pdb -2.1246
complex.424.pdb -1.9687
complex.425.pdb -0.8417
complex.426.pdb -2.8864
complex.427.pdb -4.9884
complex.428.pdb -3.3568
complex.429.pdb 0.1327
complex.430.pdb -3.8525
complex.431.pdb -6.3566
complex.432.pdb -0.2776
complex.433.pdb 6.5067
complex.434.pdb 4.0098
complex.435.pdb -2.3075
complex.436.pdb 0.1741
complex.437.pdb 0.0656
complex.438.pdb -1.8000
complex.439.pdb -4.8219
complex.440.pdb 4.5804
complex.441.pdb -2.6327
complex.442.pdb 2.5330
complex.443.pdb -3.2841
complex.444.pdb 0.5038
complex.445.pdb -0.9536
complex.446.pdb -1.4410
complex.447.pdb 7.3500
complex.448.pdb -4.6814
complex.449.pdb -0.8901
complex.450.pdb 0.6388
complex.451.pdb -2.9788
complex.452.pdb 5.3831
complex.453.pdb -4.0221
